1546199817296, OUT, 15
1546196946397, OUT, 13
1546195987260, OUT, 12
1546195711058, IN, 15
1546194530783, IN, 7
1546194315246, OUT, 20
1546191653814, OUT, 13
1546189289127, OUT, 16
1546181619952, OUT, 20
1546180094625, OUT, 12
1546178242008, OUT, 15
1546172764086, OUT, 15
1546169977092, IN, 10
1546169147511, IN, 6
1546168790655, IN, 11
1546168484074, OUT, 9
1546167592024, OUT, 16
1546167164700, OUT, 19
1546167039153, OUT, 4
1546165151180, OUT, 10
1546164991672, OUT, 12
1546164634906, IN, 11
1546164579093, OUT, 2
1546163727283, OUT, 4
1546160839622, OUT, 13
1546159800663, OUT, 18
1546158542693, OUT, 6
1546158380645, OUT, 9
1546154569260, IN, 20
1546152830510, OUT, 17
1546149567041, IN, 3
1546146053341, IN, 18
1546144405830, OUT, 20
1546144132402, OUT, 9
1546142301833, OUT, 8
1546141182499, OUT, 10
1546140812267, IN, 9
1546139691963, IN, 7
1546139096014, OUT, 7
1546135749095, OUT, 19
1546131127987, OUT, 3
1546128162868, OUT, 11
1546127887217, OUT, 9
1546126662501, OUT, 13
1546126312629, OUT, 9
1546125623549, OUT, 5
1546124380784, OUT, 3
1546124174548, IN, 18
1546121861145, OUT, 3
1546119964107, OUT, 9
1546118247416, OUT, 9
1546117833275, IN, 12
1546117678709, OUT, 13
1546115601445, IN, 15
1546114490342, IN, 1
1546113566119, OUT, 15
1546111286727, IN, 20
1546108682424, OUT, 11
1546106788912, IN, 14
1546104853463, IN, 4
1546104214597, OUT, 20
1546101210055, OUT, 4
1546098285621, OUT, 13
1546097968548, OUT, 4
1546097317629, OUT, 14
1546096661715, OUT, 5
1546094368993, OUT, 9
1546093130980, OUT, 17
1546092101041, OUT, 16
1546090729934, OUT, 7
1546089340695, OUT, 20
1546084210822, OUT, 2
1546084210822, OUT, 10
1546083544908, IN, 14
1546083089749, OUT, 10
1546079701991, OUT, 2
1546077524545, OUT, 18
1546073769292, OUT, 8
1546072443248, OUT, 3
1546071462809, OUT, 5
1546068065733, OUT, 3
1546066855207, IN, 10
1546066855207, IN, 15
1546066075296, OUT, 10
1546063697824, OUT, 6
1546061016882, OUT, 8
1546059493222, OUT, 2
1546057871954, OUT, 18
1546056958460, OUT, 12
1546055662989, IN, 1
